,SMILES,Absorption solvent,Emission solvent,Absorption (nm),Emission (nm),DOI
0,OC(=O)C1=CC=C[CH]N1[Ir+3](C1[CH]C(=CC=C1c1ccccn1)c1nc2c(n1c1ccccc1)c1ccccc1c1c2cccc1)C1[CH]C(=CC=C1c1ccccn1)c1nc2c(n1c1ccccc1)c1ccccc1c1c2cccc1,,CH2Cl2,,553.0,https://doi.org/10.3390/molecules27010232
1,c1ccc(cc1)n1c(nc2c1c1ccccc1c1c2cccc1)C1=CC=C(C([CH]1)[Ir+3](N1[CH]C=CC=C1c1ccccn1)C1[CH]C(=CC=C1c1ccccn1)c1nc2c(n1c1ccccc1)c1ccccc1c1c2cccc1)c1ccccn1,,CH2Cl2,,570.0,https://doi.org/10.3390/molecules27010232
2,OC(=O)C1=C[CH]N(C(=C1)c1nccc(c1)C(=O)O)[Ir+3](C1[CH]C(=CC=C1c1ccccn1)c1nc2c(n1c1ccccc1)c1ccccc1c1c2cccc1)C1[CH]C(=CC=C1c1ccccn1)c1nc2c(n1c1ccccc1)c1ccccc1c1c2cccc1,,CH3OH,,595.0,https://doi.org/10.3390/molecules27010232
3,O=S(=O)(c1ccc(cc1)P(c1ccccc1P(c1ccc(cc1)S(=O)(=O)O)c1ccc(cc1)S(=O)(=O)O)c1ccc(cc1)S(=O)(=O)O)O[Ir+3](C1[CH]C(=CC=C1c1ccccn1)c1nc2c(n1c1ccccc1)c1ccccc1c1c2cccc1)C1[CH]C(=CC=C1c1ccccn1)c1nc2c(n1c1ccccc1)c1ccccc1c1c2cccc1,,PBS,,555.0,https://doi.org/10.3390/molecules27010232
4,CCOP(=O)(C1=C[CH]N(C(=C1)c1nccc(c1)P(=O)(OCC)OCC)[Ir+3](C1[CH]C=CC=C1c1ccccn1)C1[CH]C=CC=C1c1ccccn1)OCC,,CH3OH,,667.0,https://doi.org/10.1002/adhm.202100706
5,CCOP(=O)(C1=C[CH]N(C(=C1)c1nccc(c1)P(=O)(OCC)OCC)[Ir+3](C1[CH]C=CC=C1c1nccc2c1cccc2)C1[CH]C=CC=C1c1nccc2c1cccc2)OCC,,CH3OH,,655.0,https://doi.org/10.1002/adhm.202100706
6,CCOP(=O)(C1=C[CH]N(C(=C1)c1nccc(c1)P(=O)(OCC)OCC)[Ir+3](C1[CH]C=CC=C1c1ccc2c(n1)cccc2)C1[CH]C=CC=C1c1ccc2c(n1)cccc2)OCC,,CH3OH,,668.0,https://doi.org/10.1002/adhm.202100706
7,O=CC1=CC=C(C([CH]1)[Ir+3](C1[CH]C(=CC=C1c1ccccn1)C=O)N1[CH]C=C(C=C1c1nccc(c1)N(C)C)N(C)C)c1ccccn1,,DMSO,,560.0,https://doi.org/10.1016/j.saa.2021.120167
8,O=CC1=CC=C(C([CH]1)[Ir+3](N1[CH]C=C(C=C1c1nccc(c1)N)N)C1[CH]C(=CC=C1c1ccccn1)C=O)c1ccccn1,,DMSO,,560.0,https://doi.org/10.1016/j.saa.2021.120167
9,O=CC1=CC=C(C([CH]1)[Ir+3](N1[CH]C=C(C=C1c1nccc(c1)C)C)C1[CH]C(=CC=C1c1ccccn1)C=O)c1ccccn1,,DMSO,,542.0,https://doi.org/10.1016/j.saa.2021.120167
10,COC1=C[CH]N(C(=C1)c1nccc(c1)OC)[Ir+3](C1[CH]C(=CC=C1c1ccccn1)C=O)C1[CH]C(=CC=C1c1ccccn1)C=O,,DMSO,,546.0,https://doi.org/10.1016/j.saa.2021.120167
11,OCC1=C[CH]N(C(=C1)c1nccc(c1)CO)[Ir+3](C1[CH]C(=CC=C1c1ccccn1)C=O)C1[CH]C(=CC=C1c1ccccn1)C=O,,DMSO,,544.0,https://doi.org/10.1016/j.saa.2021.120167
12,O=CC1=CC=C(C([CH]1)[Ir](C1[CH]C(=CC=C1c1ccccn1)C=O)N1[CH]C=C(C=C1c1nccc(c1)N(CC)(CC)CC)N(CC)(CC)CC)c1ccccn1,,DMSO,,598.0,https://doi.org/10.1016/j.saa.2021.120167
13,OC(=O)C1CSC(N1)C1=CC=C(C([CH]1)[Ir+3](N1[CH]C=C(C=C1c1nccc(c1)N(C)C)N(C)C)C1[CH]C(=CC=C1c1ccccn1)C1SCC(N1)C(=O)O)c1ccccn1,,DMSO,,540.0,https://doi.org/10.1016/j.saa.2021.120167
14,OC(=O)C1CCSC(N1)C1=CC=C(C([CH]1)[Ir+3](N1[CH]C=C(C=C1c1nccc(c1)N(C)C)N(C)C)C1[CH]C(=CC=C1c1ccccn1)C1SCCC(N1)C(=O)O)c1ccccn1,,DMSO,,560.0,https://doi.org/10.1016/j.saa.2021.120167
15,Cc1n[nH]c(c1)C1=CC=C[CH]N1[Ir+3](C1[C](C=C(N=C1C(F)(F)F)C(F)(F)F)c1nccc2c1cccc2)C1[C](C=C(N=C1C(F)(F)F)C(F)(F)F)c1nccc2c1cccc2,,CH2Cl2,,583.0,https://doi.org/10.1016/j.dyepig.2021.109733
16,FC(C1=NC(=C[C](C1[Ir+3](N1[CH]C=CC=C1c1[nH]nc(c1)C(F)(F)F)C1[C](C=C(N=C1C(F)(F)F)C(F)(F)F)c1nccc2c1cccc2)c1nccc2c1cccc2)C(F)(F)F)(F)F,,CH2Cl2,,583.0,https://doi.org/10.1016/j.dyepig.2021.109733
17,FC(C1=NC(=C[C](C1[Ir+3](C1[C](C=C(N=C1C(F)(F)F)C(F)(F)F)c1nccc2c1cccc2)N1[CH]C=CC=C1c1[nH]nc(c1)c1ccccc1)c1nccc2c1cccc2)C(F)(F)F)(F)F,,CH2Cl2,,586.0,https://doi.org/10.1016/j.dyepig.2021.109733
18,CCCCCCCCN1[N]C2=C(c3nccc4c3cccc4)C(C=C(C2=N1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)[Ir+3](N1(=c2ccc(cc2=C2C1=CC=C([CH]2)C(C)(C)C)C(C)(C)C)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)c1ccc(nc1)C(=O)O)C1C=C(c2ccc(cc2)N(c2ccccc2)c2ccccc2)C2=NN([N]C2=C1c1nccc2c1cccc2)CCCCCCCC,,CH2Cl2,,714.0,https://doi.org/10.1016/j.synthmet.2021.116917
19,CC1=C(C)C=C(C([CH]1)[Ir+3](N1[CH]C=CC=C1c1ccccn1)C1[CH]C(=C(C=C1c1cnc2c(n1)cc(c(c2)C)C)C)C)c1cnc2c(n1)cc(c(c2)C)C,,CH3CN,,628.0,https://doi.org/10.1021/acs.inorgchem.1c02121
20,CC1=C(C)C=C(C([CH]1)[Ir+3](N1[CH]C=CC=C1c1ccccn1)C1[CH]C(=C(C=C1c1cnc2c(n1)cc(c(c2)F)F)C)C)c1cnc2c(n1)cc(c(c2)F)F,,CH3CN,,655.0,https://doi.org/10.1021/acs.inorgchem.1c02121
21,FC1=CC=C(C([CH]1)[Ir+3](N1[CH]C=CC=C1c1ccccn1)C1[CH]C(=CC=C1c1cnc2c(n1)cccc2)F)c1cnc2c(n1)cccc2,,CH3CN,,590.0,https://doi.org/10.1021/acs.inorgchem.1c02121
22,FC1=CC=C(C([CH]1)[Ir+3](N1[CH]C=CC=C1c1ccccn1)C1[CH]C(=CC=C1c1cnc2c(n1)cc(c(c2)C)C)F)c1cnc2c(n1)cc(c(c2)C)C,,CH3CN,,585.0,https://doi.org/10.1021/acs.inorgchem.1c02121
23,FC1=CC=C(C([CH]1)[Ir+3](N1[CH]C=CC=C1c1ccccn1)C1[CH]C(=CC=C1c1cnc2c(n1)cc(c(c2)F)F)F)c1cnc2c(n1)cc(c(c2)F)F,,CH3CN,,594.0,https://doi.org/10.1021/acs.inorgchem.1c02121
24,FC1=C[C](c2cnc3c(n2)cccc3)C(C(=C1F)F)[Ir+3](N1[CH]C=CC=C1c1ccccn1)C1[C](C=C(C(=C1F)F)F)c1cnc2c(n1)cccc2,,CH3CN,,579.0,https://doi.org/10.1021/acs.inorgchem.1c02121
