,Unnamed: 0,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,Molecular weight (g mol-1)
0,0,N#Cc1cc2ccc(O)cc2oc1=O,O,355.0,410.0,2.804262479,0.3450245633446556,187.1537
1,1,N#Cc1cc2ccc([O-])cc2oc1=O,O,408.0,450.0,3.961965135,0.3450245633446556,186.14576
2,2,CCCCCCCCCCCC#CC#CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCC#CC#CCCCCCCCCCCCC)C5=O,ClC(Cl)Cl,526.0,535.0,3.602954423,0.3450245633446556,1061.54348
3,3,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,514.0,553.72,29646.0,0.3450245633446556,350.42028
4,4,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,524.0,555.0,45111.0,0.3450245633446556,350.42028
5,5,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,350.0,395.0,45140.0,0.3450245633446556,231.29398
6,6,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,361.0,416.0,44929.0,0.3450245633446556,231.29398
7,7,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,367.0,430.0,45019.0,0.3450245633446556,231.29398
8,8,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCO,373.0,451.0,44929.0,0.3450245633446556,231.29398
9,9,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,OCC(O)CO,384.0,463.0,45141.0,0.3450245633446556,231.29398
10,10,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,C1CCCCC1,376.0,433.0,44930.0,0.3450245633446556,285.26416
11,11,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCOC(C)=O,392.0,479.0,45081.0,0.3450245633446556,285.26416
12,12,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,396.0,501.0,0.6,0.3450245633446556,285.26416
13,13,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCO,400.0,509.0,0.85,0.3450245633446556,285.26416
14,14,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,OCC(O)CO,413.0,524.0,45109.0,0.3450245633446556,285.26416
15,15,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,C1CCCCC1,361.0,407.0,45079.0,0.3450245633446556,255.31598
